Results for image: ./outputcsv/tennis_in_crowd.txt
 Pose #0, score = 0.614468
keypoint rightEar, score =0.753385 , coordindates = [ 10.11927223 220.9558382 ]
keypoint leftShoulder, score =0.265458 , coordindates = [ 20.92795181 243.15118313]
keypoint rightShoulder, score =0.263893 , coordindates = [ 16.66579056 189.85544872]
keypoint leftElbow, score =0.716799 , coordindates = [ 51.0249157  254.01825988]
keypoint rightElbow, score =0.300500 , coordindates = [ 45.13790417 167.55592918]
keypoint leftWrist, score =0.613418 , coordindates = [ 60.29858112 244.45045853]
keypoint rightWrist, score =0.678607 , coordindates = [ 54.53751278 180.46202326]
keypoint leftHip, score =0.894964 , coordindates = [ 67.81885123 244.59548044]
keypoint rightHip, score =0.134591 , coordindates = [ 61.43626881 186.14357519]
keypoint leftKnee, score =0.378162 , coordindates = [ 96.01386066 257.37737572]
keypoint rightKnee, score =0.215728 , coordindates = [ 67.36437249 174.20137584]
keypoint leftAnkle, score =0.203567 , coordindates = [125.40339303 256.84822583]
keypoint rightAnkle, score =0.144483 , coordindates = [ 98.26967525 179.93306494]
 Pose #9, score = 0.588135
keypoint nose, score =0.878613 , coordindates = [ 15.20188802 278.58075523]
keypoint leftEye, score =0.870600 , coordindates = [  9.84888363 279.59279346]
keypoint rightEye, score =0.796652 , coordindates = [ 11.78690767 279.22097874]
keypoint leftEar, score =0.403470 , coordindates = [ 17.80298996 281.18734932]
keypoint rightEar, score =0.272323 , coordindates = [ 14.05306613 269.70016861]
keypoint leftShoulder, score =0.784390 , coordindates = [ 32.1857872  294.40439606]
keypoint rightShoulder, score =0.158882 , coordindates = [ 14.88865471 266.06086636]
keypoint leftElbow, score =0.824619 , coordindates = [ 56.64486313 299.8811388 ]
keypoint rightElbow, score =0.517733 , coordindates = [ 48.57005501 257.17673242]
keypoint leftWrist, score =0.660059 , coordindates = [ 62.99542618 287.30883557]
keypoint rightWrist, score =0.722491 , coordindates = [ 62.92661023 272.48007944]
keypoint leftHip, score =0.948115 , coordindates = [ 70.95881796 288.9915731 ]
keypoint rightHip, score =0.296918 , coordindates = [ 60.71049213 266.70556116]
keypoint leftKnee, score =0.619450 , coordindates = [101.29683924 289.54333675]
keypoint rightKnee, score =0.526920 , coordindates = [ 84.65873861 272.57787329]
keypoint leftAnkle, score =0.213188 , coordindates = [118.34289646 308.18650007]
keypoint rightAnkle, score =0.503872 , coordindates = [103.94663239 278.34782314]
